audit_index,id,title,author,current_bands,reading_level,book_format,year_published,browse_visible,population,decision,new_bands,beth_review_flag,heads_up,rationale
A-075,66e09d05-82af-45f5-b301-ba0ebcda36bc,The Incredibly Human Henson Blayze,Derrick Barnes,8-10,independent,chapter-book,2025,True,A — 8-10 retag,retag,"7-9, 10-12",none,,Incredibly Human Henson Blayze — Derrick Barnes. Identity-formation narrative. 7-9 to 10-12.
A-076,4b583c71-917b-4d6e-a693-f37ea19f85e4,The Last Mapmaker,Christina Soontornvat,"5-7, 8-10",independent,chapter-book,2022,True,A — 8-10 retag,retag,"7-9, 10-12",none,,"Last Mapmaker — Christina Soontornvat. Newbery Honor. Apprentice-mapmaker sea voyage, layered ethics. 7-9 to 10-12."
A-077,1ae3aa56-373d-4ff4-ae95-37b15b2c7963,The Lemonade War,Jacqueline Davies,"5-7, 8-10",independent,chapter-book,2007,True,A — 8-10 retag,retag,7-9,none,,Lemonade War — Davies. Sibling competition + economics primer. Squarely Artisan. Doesnt scale to Scholar.
A-078,a119656b-3b08-4cbf-bdf7-8d2fbb17a4af,The Lions' Run,Sara Pennypacker,8-10,independent,chapter-book,2026,True,A — 8-10 retag,remove-from-database,,amy-approved,,"REMOVED per Amy directive (civil-rights-era books where violence is the subject, not backdrop). Original audit rationale: The Lions Run — Sara Pennypacker 2026. Nazi-occupied France, Lebensborn program (stolen children), Resistance. WWII content with kidnapping-of-children theme. Pennypacker has range (Pax is 7-9, this reads older). Beth confirms — likely Scholar-only with Heads Up."
A-079,478900ef-be38-4908-bb99-f613975dcd6d,The Lumbering Giants of Windy Pines,Mo Netz,8-10,independent,chapter-book,2024,True,A — 8-10 retag,retag,"7-9, 10-12",none,,"Lumbering Giants of Windy Pines — Mo Netz. Wheelchair protagonist, scary woods. Disability + adventure. 7-9 to 10-12."
A-080,7323a15c-c368-4e6f-bc7a-4bb803520a0d,"The Many Assassinations of Samir, the Seller of Dreams",Daniel Nayeri,8-10,independent,chapter-book,2023,True,A — 8-10 retag,remove-from-database,,amy-approved,,"REMOVED per Amy directive (single-issue calls). Original audit rationale: Many Assassinations of Samir — Daniel Nayeri. Persian trade routes, repeated assassination attempts, moral problem per chapter. Sophisticated structure, religious/philosophical content. Likely Scholar-only. Beth confirms."
A-081,b9d3cdbb-1352-44dc-8fc6-e5dbe3066e17,The Map Trap,Andrew Clements,8-10,independent,chapter-book,2014,True,A — 8-10 retag,retag,"5-6, 7-9",none,,Map Trap — Andrew Clements. School-mystery-about-teacher. Clements is 5-6 advanced to 7-9. Doesnt scale to Scholar.
A-082,9f92c599-c5e1-4f13-897c-32e6d87c1dc4,The Marvellers,Dhonielle Clayton,"5-7, 8-10",independent,chapter-book,2022,True,A — 8-10 retag,retag,"7-9, 10-12",none,,The Marvellers — Dhonielle Clayton. Magic-school + Black girl as first-of-her-kind. 7-9 to 10-12.
A-083,1ca9506a-27de-44c1-87e3-20694c246137,The Nine Moons of Han Yu and Luli,Karina Yan Glaser,"5-7, 8-10",independent,chapter-book,2025,True,A — 8-10 retag,retag,"7-9, 10-12",none,,Nine Moons of Han Yu and Luli — Karina Yan Glaser. Chinese mythology + science. 7-9 to 10-12.
A-084,cb1d8d4c-cfe3-4daf-bc83-1c2016308fb2,The One and Only Ivan,Katherine Applegate,8-10,independent,chapter-book,2012,True,A — 8-10 retag,retag,"7-9, 10-12",none,,"One and Only Ivan — Applegate. Newbery Medal. Captivity narrative, art-as-truth. 7-9 to 10-12. Cited in Sienna audit Theme 49 framing."
A-085,82349b5f-824f-4da9-acd9-633e4c85707f,The One and Only Ruby,Katherine Applegate,"5-7, 8-10",independent,chapter-book,2023,True,A — 8-10 retag,retag,"5-6, 7-9",none,,One and Only Ruby — Applegate. Younger sister-companion to Ivan. Reads 5-6 advanced to 7-9 native.
A-086,0791ad02-190d-477f-8bc8-14d8940c5c87,The Pecan Sheller,Lupe Ruiz-Flores,"10-12, 8-10",independent,chapter-book,2025,True,A — 8-10 retag,retag,"7-9, 10-12",amy-approved,,"APPROVED per Amy directive (civil-rights-era backdrop, not subject; representation-rich content). Pecan Sheller — Lupe Ruiz-Flores. 1930 Texas labor strike, child-laborer protagonist. Historical fiction with labor history. 7-9 to 10-12."
A-087,3d726590-8045-4247-8e6a-3e856186450a,The Penderwicks on Gardam Street,Jeanne Birdsall,"5-7, 8-10",independent,chapter-book,2008,True,A — 8-10 retag,retag,"5-6, 7-9",none,,"Penderwicks on Gardam Street — Birdsall. Sister-comedy. 5-6 read-aloud, 7-9 native."
A-088,bccdd045-7863-4dfa-b59d-cc199143a9a9,The Phantom Tollbooth,Norton Juster,"5-7, 8-10",independent,chapter-book,1961,False,A — 8-10 retag,retag,"7-9, 10-12",none,,"Phantom Tollbooth — 1961 Juster. Pre-1990, browse_visible likely False. Canonical wordplay-fantasy. 7-9 to 10-12 — wordplay sophistication scales."
A-089,2846ce50-906b-4d29-aab4-734c7ee2cc8d,The Poisoned King,Katherine Rundell,"10-12, 8-10",independent,chapter-book,2025,True,A — 8-10 retag,retag,10-12,none,,The Poisoned King — Rundell sequel to Impossible Creatures. Series escalates; this volume Scholar.
A-090,83dffdfb-85f0-4899-9ee8-d7d5d52e3d60,The Secret Library,Kekla Magoon,8-10,independent,chapter-book,2026,True,A — 8-10 retag,remove-from-database,,amy-approved,,"REMOVED per Amy directive (single-issue calls). Original audit rationale: Secret Library — Kekla Magoon 2026. ""Save lives or destroy everything."" Magoon writes substantive middle-grade. Plot-stakes language suggests intensity; Beth confirms."
A-091,f569e72e-1c70-4194-a685-d6e98187d1f0,The Shrew Detective: The Case of the Pilfered Pearls,Margi Preus,"5-7, 8-10",independent,chapter-book,2026,True,A — 8-10 retag,retag,"5-6, 7-9",none,,"Shrew Detective — Margi Preus. Victorian-detective + natural-history hybrid. 5-6 read-aloud advanced, 7-9 native."
A-092,a2e09e27-36c8-49e9-bfd1-1f29e356d4a7,The Teacher of Nomad Land: A World War II Story,Daniel Nayeri,"10-12, 8-10",independent,chapter-book,2025,True,A — 8-10 retag,remove-from-database,,amy-approved,,"REMOVED per Amy directive (single-issue calls). Original audit rationale: Teacher of Nomad Land — Daniel Nayeri. 1941 Iran, orphaned siblings, WWII. Nayeris prior work (Many Assassinations) is Scholar-tier. WWII setting + orphan-sibling narrative. Beth confirms Scholar-only with Heads Up."
A-093,bf68cb95-57e8-4004-8507-a60eaa6594e0,The Tenth Mistake of Hank Hooperman,Gennifer Choldenko,8-10,independent,chapter-book,2024,True,A — 8-10 retag,retag,"7-9, 10-12",none,,Tenth Mistake of Hank Hooperman — Choldenko. Mistakes-as-learning. 7-9 to 10-12.
A-094,f1e1a3f5-4000-4c71-b04b-3e857ede7dc6,The Trumpet of the Swan,E.B. White,"5-7, 8-10",independent,chapter-book,1970,False,A — 8-10 retag,retag,"5-6, 7-9",none,,"Trumpet of the Swan — 1970 White. Pre-1990, browse_visible likely False. Canonical. Reads 5-6 advanced to 7-9 native."
A-095,c3be3f45-f5ea-45cf-8f21-4721da6c8859,The Undead Fox of Deadwood Forest,Aubrey Hartman,"5-7, 8-10",independent,chapter-book,2025,True,A — 8-10 retag,remove-from-database,,amy-approved,,REMOVED per Amy directive (single-issue calls). Original audit rationale: Undead Fox of Deadwood Forest — Aubrey Hartman. Soul-guide-fox + soul-that-refuses-to-leave. Death-and-afterlife theme handled fantastically. Picture-book-of-death-handling. Beth confirms.
A-096,d1c1427a-e4c8-450e-9530-f340178d6323,The Wild Robot Protects,Peter Brown,"5-7, 8-10",independent,chapter-book,2023,True,A — 8-10 retag,retag,"7-9, 10-12",none,,Wild Robot Protects — Peter Brown. Series third volume. Squarely 7-9 to 10-12.
A-097,37779edd-b509-4b79-b766-90f5e2425123,The Winter of the Dollhouse,Laura Amy Schlitz,8-10,independent,chapter-book,2025,True,A — 8-10 retag,retag,"7-9, 10-12",none,,"Winter of the Dollhouse — Laura Amy Schlitz. Cross-generational mystery, antique-doll. Schlitz writes 7-9 to 10-12."
A-098,f3d07dec-4391-4bc7-9b2f-c5c82ffe31e4,When the Sea Turned to Silver,Grace Lin,8-10,independent,chapter-book,2016,True,A — 8-10 retag,retag,"7-9, 10-12",none,,When the Sea Turned to Silver — Grace Lin. Chinese folktale-driven adventure. 7-9 to 10-12.
A-099,d7acaf08-7965-4c79-9132-d4b5d5fa6a9d,Botticelli's Apprentice,Ursula Murray Husted,"10-12, 8-10",independent,graphic-novel,2025,True,A — 8-10 retag,retag,"7-9, 10-12",none,,Botticellis Apprentice — Husted. Renaissance Florence. Graphic-novel format reads accessibly; content is art-history substantial. 7-9 to 10-12.
A-100,c33a58b7-cfb2-4498-9b8e-1edf2d3c3cd6,Frizzy,Claribel A. Ortega,"5-7, 8-10",independent,graphic-novel,2022,True,A — 8-10 retag,retag,"7-9, 10-12",none,,"Frizzy — Ortega. Pura Belpré-winning graphic novel. Hair, identity, family. 7-9 to 10-12."
A-101,60cc4f62-215b-482b-8f75-e8a003e3ff61,Human Body Theater,Maris Wicks,8-10,independent,graphic-novel,2015,True,A — 8-10 retag,retag,"5-6, 7-9",none,,"Human Body Theater — Maris Wicks. Skeleton-host anatomy tour. Graphic-novel format makes 5-6 advanced read-aloud viable, 7-9 native independent. Doesnt scale to 10-12 (concept is introductory anatomy)."
A-102,74bdd11a-4b39-4b35-987f-cc0a8148196d,J vs. K,Jerry Craft and Kwame Alexander,"10-12, 8-10",independent,graphic-novel,2025,True,A — 8-10 retag,retag,"7-9, 10-12",none,,J vs. K — Craft + Alexander. Two Newbery winners co-write. 7-9 to 10-12.
A-103,ea9a1df0-a65d-4e86-b64e-9f0390c32f67,Mexikid,Pedro Martín,"5-7, 8-10",independent,graphic-novel,2023,True,A — 8-10 retag,retag,"7-9, 10-12",none,,Mexikid — Pedro Martín. Newbery Honor 2024. Family road trip to Mexico. 7-9 to 10-12.
A-104,701d5fd5-4d3a-4718-bf41-0d41f82eee70,Night Chef,Mika Song,"5-7, 8-10",independent,graphic-novel,2025,True,A — 8-10 retag,retag,"5-6, 7-9",none,,"Night Chef — Mika Song. Raccoon-secretly-a-chef. Picture-book-style graphic novel. 5-6 advanced read-aloud, 7-9 native."
A-105,771d8409-2080-43d8-84c7-821c6e0b85e6,Remarkably Ruby,Terri Libenson,8-10,independent,graphic-novel,2022,True,A — 8-10 retag,retag,"7-9, 10-12",none,,Remarkably Ruby — Libenson. Two-perspective school graphic novel. Series fits 7-9 to 10-12.
A-106,d5f74373-af6a-44be-bf10-35bd82e6feb0,Sashimi: A Graphic Novel,Dan Santat,"5-7, 8-10",independent,graphic-novel,2026,True,A — 8-10 retag,retag,"5-6, 7-9",none,,Sashimi — Dan Santat. First-day-of-school + sea-monster-search. Caldecott-winner author. Reads 5-6 advanced to 7-9.
A-107,ef03165d-ab2f-4078-b15f-c70943207bf6,The Ink Witch,Steph Cherrywell,"10-12, 8-10",independent,graphic-novel,2025,True,A — 8-10 retag,retag,10-12,amy-approved,,"APPROVED per Amy directive (developmental edge call; no Heads Up needed). The Ink Witch — Steph Cherrywell. Witch + ink-with-life-of-its-own. ""Reshapes everything she thought she knew"" suggests YA-adjacent. Beth confirms — graphic-novel format and witch-magic content may need review for younger band fit; recommend Scholar-only pending eyes-on."
A-108,5577338e-7f22-437b-8bd0-63b21ee6375b,The Vanishing of Lake Peigneur: A Graphic Novel Based on a True Story,Allan Wolf,"10-12, 8-10",independent,graphic-novel,2025,True,A — 8-10 retag,retag,"7-9, 10-12",none,,Vanishing of Lake Peigneur — Allan Wolf. 1980 oil-drilling-disaster nonfiction graphic novel. Geological-disaster physics. 7-9 to 10-12.
A-109,ae9f3932-7a33-46cc-8e40-9d87d9b9bcad,Wrong Friend,Charise Mericle Harper,"5-7, 8-10",independent,graphic-novel,2026,True,A — 8-10 retag,retag,"7-9, 10-12",none,,Wrong Friend — Charise Mericle Harper. Friendship-loss-not-death. Graphic novel. 7-9 to 10-12. Family-conversation tier.
A-110,b1858f24-47bf-4366-9c8a-6f8b6a7a1beb,A Drop of Water,Walter Wick,"5-7, 8-10",independent,nonfiction,1997,True,A — 8-10 retag,retag,"5-6, 7-9",none,,"A Drop of Water — 1997 Walter Wick. Pre-1990 (1997 is post; OK). Macro-photography science. 5-6 read-aloud, 7-9 independent."
A-111,8515ce41-7c3f-4946-b367-6eb0fba6f064,A Window into the Ocean Twilight Zone,Michelle Cusolito,8-10,independent,nonfiction,2022,True,A — 8-10 retag,retag,"7-9, 10-12",none,,Window into Ocean Twilight Zone — Cusolito. Ocean ecology nonfiction at chapter-length. 7-9 to 10-12.
A-112,1c5e53e9-5189-40a1-9de1-8e0a7ccf16a9,Almost Underwear: How a Piece of Cloth Traveled from Kitty Hawk to the Moon and Mars,Jonathan Roth,"5-7, 8-10",independent,nonfiction,2025,True,A — 8-10 retag,retag,"5-6, 7-9",none,,"Almost Underwear — Jonathan Roth. Space Shuttle thermal-fabric origin from Wright Brothers. Engineering history. 5-6 advanced read-aloud, 7-9 native."
A-113,10d01d03-4e42-4423-b475-77160130f560,An Immense World (Young Readers Edition): How Animals Sense Earth's Amazing Secrets,Ed Yong,8-10,independent,nonfiction,2025,True,A — 8-10 retag,retag,"7-9, 10-12",none,,An Immense World YRE — Ed Yong. Animal sensory worlds. Yongs adult book is famous; YRE makes 7-9 to 10-12 viable.
A-114,8a2df050-cfec-42ae-8393-b4a4cd14fe46,"At Last She Stood: How Joey Guerrero Spied, Survived, and Fought for Freedom",Erin Entrada Kelly,8-10,independent,nonfiction,2025,True,A — 8-10 retag,remove-from-database,,amy-approved,,"REMOVED per Amy directive (civil-rights-era books where violence is the subject, not backdrop). Original audit rationale: At Last She Stood — Joey Guerrero. WWII Filipina spy with leprosy. Disability + war + colonial-era context. Erin Entrada Kelly is canonical 7-9 author but this content sits 10-12. Beth confirms Scholar-only."
A-115,1cd2d48f-0fc7-4100-beba-4618e87a6ce4,Baseball's Shining Season: America's Pastime on the Brink of War,Martin W. Sandler and Craig Sandler,"10-12, 8-10",independent,nonfiction,2026,True,A — 8-10 retag,retag,10-12,none,,Baseballs Shining Season — 1941 baseball + WWII tension. Sports + history. Sandler writes Scholar-tier. 10-12 only.
A-116,b3c0ed00-29a2-44ce-88c1-7183ca3ef818,Before the Ships: The Birth of Black Excellence in American Aviation,Maisha Oso,8-10,independent,nonfiction,2025,True,A — 8-10 retag,retag,"7-9, 10-12",none,,Before the Ships — Maisha Oso. Black aviation history before Tuskegee. 7-9 to 10-12.
A-117,800fea57-6662-4603-ba6a-713c9dddd4d5,Ben Franklin's Almanac,Candace Fleming,"5-7, 8-10",independent,nonfiction,2003,True,A — 8-10 retag,retag,"7-9, 10-12",none,,Ben Franklins Almanac — Candace Fleming. Scrapbook-format biography. 7-9 to 10-12.
A-118,b57183ab-d9a4-4f90-90da-6ea888345ecb,"Bounce! The Wonderful, Wacky, World-Changing History of Rubber",Sarah Albee,"5-7, 8-10",independent,nonfiction,2023,True,A — 8-10 retag,retag,"5-6, 7-9",none,,"Bounce! — Sarah Albee. Rubber-history-of-civilization. Albee writes accessible nonfiction. 5-6 advanced read-aloud, 7-9 native. Doesnt require Scholar tier."
A-119,adbdfed4-533a-4cd6-91be-f3af0d023496,Call Me Roberto!: The Story of Roberto Clemente,Nathalie Alonso,"5-7, 8-10",independent,nonfiction,2023,True,A — 8-10 retag,retag,"5-6, 7-9",none,,Call Me Roberto! — Roberto Clemente bio. Picture-bio-as-chapter-format. 5-6 to 7-9.
A-120,8281d83d-6021-4a50-b82a-5a03cf32197a,Castle,David Macaulay,"10-12, 8-10",independent,nonfiction,1977,False,A — 8-10 retag,remove-from-database,,amy-approved,,"REMOVED per Amy directive (single-issue calls). Original audit rationale: Castle — 1977 David Macaulay. Pre-1990, browse_visible likely False. Caldecott Honor. Architectural cross-section nonfiction. Macaulays detail is dense; 10-12 fit. Beth confirms whether to retain in browse despite pre-1990 — Macaulay has minimal aging concerns (technical content) and remains library-staple."
A-121,77e83662-03df-4ab5-88a6-46ae6bd05fc3,City Safari: A Young Naturalist's Guide to Discovering Nature in the City,Jenette Restivo,"5-7, 8-10",independent,nonfiction,2025,True,A — 8-10 retag,retag,"5-6, 7-9",none,,"City Safari — Jenette Restivo. Urban naturalist field guide. 5-6 with adult, 7-9 independent."
A-122,19e8e348-c65a-4365-8982-fe55bb2aad97,Daughter of the Light-Footed People: The Story of Indigenous Marathon Champion Lorena Ramírez,Belen Medina,8-10,independent,nonfiction,2025,True,A — 8-10 retag,retag,"7-9, 10-12",none,,"Daughter of Light-Footed People — Lorena Ramírez, Tarahumara runner. 7-9 to 10-12."
A-123,73f249f3-5ca4-4d18-8f6f-80c84586326d,"Dead Ends! Flukes, Flops, and Failures That Sparked Medical Marvels",Lindsey Fitzharris,8-10,independent,nonfiction,2025,True,A — 8-10 retag,retag,"7-9, 10-12",none,,Dead Ends! — Lindsey Fitzharris. Medical-failures-led-to-breakthroughs. Fitzharriss adult work is graphic; YA framing accessible. 7-9 to 10-12.
A-124,b9e3cac1-06cd-4d6c-a8c5-255a4d2a3a1c,Earthrise: How the Apollo 8 Crew Photographed the World,Leonard S. Marcus,"10-12, 8-10",independent,nonfiction,2025,True,A — 8-10 retag,retag,"7-9, 10-12",none,,Earthrise — Apollo 8 photograph history. 7-9 to 10-12.
A-125,69651b0d-0e1b-4fd2-b7f2-f7380a2c99c3,Full Moon,Michael Light,"10-12, 8-10",independent,nonfiction,1999,True,A — 8-10 retag,remove-from-database,,amy-approved,,REMOVED per Amy directive (single-issue calls). Original audit rationale: Full Moon — 1999 Michael Light. NASA Apollo photographs. Pre-1990 (false — 1999 is post). Coffee-table photography book. 10-12 only — viewing experience requires the patient older reader. Beth confirms whether browse-suitable or plan-generator-only.
A-126,4c6cbef2-3a58-4893-a552-b23f766ac041,Grand Canyon,Jason Chin,"5-7, 8-10",independent,nonfiction,2017,True,A — 8-10 retag,retag,"5-6, 7-9",none,,"Grand Canyon — Jason Chin. Caldecott Honor. Layer-by-layer geology picture-book. 5-6 read-aloud, 7-9 independent."
A-127,59f97dc6-96c7-41e5-822c-963cfae4beb4,Holding Her Own: The Exceptional Life of Jackie Ormes,Traci N. Todd,"5-7, 8-10",independent,nonfiction,2023,True,A — 8-10 retag,retag,"5-6, 7-9",none,,Holding Her Own — Jackie Ormes biography. First Black woman syndicated cartoonist. 5-6 to 7-9.
A-128,cc1f604d-8b2e-46cb-9093-e9bc998fa8a3,Judge Ketanji Brown Jackson: A Life Committed to Justice,Lori Rozsa and Garen Thomas,"10-12, 8-10",independent,nonfiction,2026,True,A — 8-10 retag,retag,10-12,none,,Judge Ketanji Brown Jackson — civil rights law biography. Vocabulary and judicial-process content at Scholar.
A-129,a97e9dcc-8605-411c-99b6-1422b1cd8d4b,Mimic Makers: Biomimicry Inventors Inspired by Nature,Kristen Nordstrom,"5-7, 8-10",independent,nonfiction,2023,True,A — 8-10 retag,retag,"5-6, 7-9",none,,"Mimic Makers — biomimicry. Velcro from cocklebur, etc. 5-6 advanced read-aloud, 7-9 native."
A-130,ffb5959d-8aa5-4f29-a26f-c01d7be5c43b,"My Antarctica: True Adventures in the Land of Mummified Seals, Space Robots, and So Much More",G. Neri,8-10,independent,nonfiction,2024,True,A — 8-10 retag,retag,"7-9, 10-12",none,,My Antarctica — G. Neri. Adult-narrator-converted-to-science memoir. 7-9 to 10-12.
A-131,8076a409-593f-44ac-9866-dfa940422b1d,Neighborhood Sharks,Katherine Roy,8-10,independent,nonfiction,2014,True,A — 8-10 retag,retag,"5-6, 7-9",none,,"Neighborhood Sharks — Katherine Roy. Sibert Medal. Great whites near SF. 5-6 with adult, 7-9 independent."
A-132,93d7dbb7-66d2-45a5-bd9c-49fb1cc201a5,Octopus Ocean: Geniuses of the Deep,Mark Leiren-Young,"5-7, 8-10",independent,nonfiction,2025,True,A — 8-10 retag,retag,"5-6, 7-9",none,,"Octopus Ocean — Mark Leiren-Young. Octopus cognition. 5-6 advanced read-aloud, 7-9 native."
A-133,c9f60a49-a68b-43fb-ba80-d91c7d462a66,Plague-Busters! A Germ-Hunter's History of Fighting Deadly Disease,Lindsey Fitzharris,"10-12, 8-10",independent,nonfiction,2023,True,A — 8-10 retag,remove-from-database,,amy-approved,,"REMOVED per Amy directive (single-issue calls). Original audit rationale: Plague-Busters! — Lindsey Fitzharris. Disease history, including doctors who died. Fitzharriss rigor + plague content suggests Scholar-only. Beth confirms."
A-134,6a9eeb44-5953-43fc-a54b-7467a3401e5b,Seeds of Discovery: How Barbara McClintock Used Corn and Curiosity to Solve a Science Mystery and Win a Nobel Prize,Lori Alexander,"5-7, 8-10",independent,nonfiction,2025,True,A — 8-10 retag,retag,"5-6, 7-9",none,,"Seeds of Discovery — Barbara McClintock biography. Genetics + woman-in-science. 5-6 advanced read-aloud, 7-9 native."
A-135,8dbf5c30-09c9-4830-81c1-7017eb49e688,"Seen and Unseen: What Dorothea Lange, Toyo Miyatake, and Ansel Adams's Photographs Reveal About the Japanese American Incarceration",Elizabeth Partridge,"5-7, 8-10",independent,nonfiction,2022,True,A — 8-10 retag,retag,"7-9, 10-12",amy-approved,,"APPROVED per Amy directive (civil-rights-era backdrop, not subject; representation-rich content). Seen and Unseen — three-photographers Japanese American incarceration. Documentary photography + history. 7-9 to 10-12. Heads Up territory."
A-136,17a00390-9528-454e-a360-16460d43265c,Shipwrecked! by the Laws of Science: How 14 Shipwrecks Redefined What We Know About Our World,Martin W. Sandler,8-10,independent,nonfiction,2023,True,A — 8-10 retag,retag,"7-9, 10-12",none,,Shipwrecked! by Laws of Science — Sandler. Fourteen shipwrecks redefining knowledge. 7-9 to 10-12.
A-137,9e8239af-3c36-4e10-bfcf-b34a39d5c444,The Bard and the Book: How the First Folio Saved the Plays of William Shakespeare from Oblivion,Ann Bausum,8-10,independent,nonfiction,2025,True,A — 8-10 retag,retag,"7-9, 10-12",none,,Bard and the Book — Shakespeare First Folio. Literature history. 7-9 to 10-12.
A-138,fb75474b-fc92-4ec8-8fbb-04eb162b2185,The Beetle Book,Steve Jenkins,8-10,independent,nonfiction,2012,True,A — 8-10 retag,retag,"5-6, 7-9",none,,"Beetle Book — Steve Jenkins. To-scale beetle illustrations. Visual nonfiction. 5-6 with adult, 7-9 independent."
A-139,2093f602-f7f1-4953-ac34-f8ff61299852,The Book of Turtles,Sy Montgomery,"5-7, 8-10",independent,nonfiction,2023,True,A — 8-10 retag,retag,"5-6, 7-9",none,,"Book of Turtles — Sy Montgomery. Turtle natural history. Montgomery accessible. 5-6 advanced read-aloud, 7-9 native."
A-140,5176c3ad-1256-44ec-98db-5a05f7a1a9c9,The Doomsday Detectives: How Walter and Luis Alvarez Solved the Mystery of Dinosaur Extinction,Cindy Jenson-Elliott,"5-7, 8-10",independent,nonfiction,2025,True,A — 8-10 retag,retag,"7-9, 10-12",none,,Doomsday Detectives — Alvarez extinction-event discovery. Dinosaur extinction science. 7-9 to 10-12.
A-141,10d434b4-4436-45e2-a239-77387e5bc693,"The Enigma Girls: How Ten Teenagers Broke Ciphers, Kept Secrets, and Helped Win World War II",Candace Fleming,"10-12, 8-10",independent,nonfiction,2023,True,A — 8-10 retag,retag,10-12,none,,Enigma Girls — Bletchley Park codebreakers. WWII espionage. 10-12 only — content density and 30-year-secrecy framing wants the older reader.
A-142,b8f858b3-dc9e-4559-88ff-a71c1a24a52f,The Five Sides of Marjorie Rice: How an Amateur Mathematician Discovered New Shapes,Amy Alznauer,"5-7, 8-10",independent,nonfiction,2025,True,A — 8-10 retag,retag,"5-6, 7-9",none,,"Five Sides of Marjorie Rice — amateur mathematician. Pentagon tessellation. 5-6 advanced read-aloud, 7-9 native."
A-143,b920893f-d8bc-4cbf-9d85-7d18dea16f49,The Girl Who Drew Butterflies,Joyce Sidman,"10-12, 8-10",independent,nonfiction,2018,True,A — 8-10 retag,retag,10-12,duplicate,,Girl Who Drew Butterflies — DUPLICATE of row 144. De-dup required. Joyce Sidman 2018 Sibert Medal. Maria Sibylla Merian. Sophisticated science-history biography. 10-12.
A-144,ec9390ea-b374-49b9-8ff3-419f180a5c92,The Girl Who Drew Butterflies,Joyce Sidman,"10-12, 8-10",independent,nonfiction,2018,True,A — 8-10 retag,remove-from-database,,amy-approved,,DUPLICATE removal per Amy directive — kept canonical copy elsewhere in corpus. Original audit rationale: Girl Who Drew Butterflies — DUPLICATE of row 143. Same audit outcome.
A-145,7895644f-0f3c-4a9a-b591-662adc18f8f5,"The Mona Lisa Vanishes: A Legendary Painter, a Shocking Heist, and the Birth of a Global Celebrity",Nicholas Day,8-10,independent,nonfiction,2023,True,A — 8-10 retag,retag,10-12,none,,Mona Lisa Vanishes — art theft + celebrity-creation. Nicholas Day. 10-12.
A-146,f456feaa-2643-4cad-9639-fc740201d131,The Mysterious Virginia Hall: World War II's Most Dangerous Spy,Claudia Friddell,"10-12, 8-10",independent,nonfiction,2025,True,A — 8-10 retag,remove-from-database,,amy-approved,,REMOVED per Amy directive (single-issue calls). Original audit rationale: Mysterious Virginia Hall — WWII spy. Disability + war content. 10-12. Beth confirms — content sensitivity stays at Scholar.
A-147,727df2ff-83ef-4837-9fca-26dd0abbca2a,The Six (Young Readers Edition): The Untold Story of America's First Women Astronauts,Loren Grush,"10-12, 8-10",independent,nonfiction,2025,True,A — 8-10 retag,retag,10-12,none,,The Six YRE — first women NASA astronauts. 10-12.
A-148,3a4d3b3d-0d2b-4c3b-a5e2-5ba7f5a4f296,The World Is Waiting for You,Barbara Kerley,8-10,independent,nonfiction,2013,True,A — 8-10 retag,retag,"5-6, 7-9",none,,"World Is Waiting for You — Barbara Kerley. Explorer-as-kid biographies. 5-6 with adult, 7-9 native."
A-149,fb6c3825-cf62-4cad-8443-704cbd5ca38a,Tiny But Mighty,Hannah Shaw,8-10,independent,nonfiction,2019,True,A — 8-10 retag,retag,7-9,none,,Tiny But Mighty — Hannah Shaw. How-to-save-a-kitten. Practical animal-rescue content. Squarely 7-9.
A-150,a304bfeb-1001-49c5-80fe-3b2c7ea0146f,Wanda Hears the Stars: A Blind Astronomer Listens to the Universe,Amy S. Hansen and Wanda Díaz Merced,"5-7, 8-10",independent,nonfiction,2025,True,A — 8-10 retag,retag,"5-6, 7-9",none,,"Wanda Hears the Stars — blind astronomer converting starlight to sound. Disability + science. 5-6 advanced read-aloud, 7-9 native."
A-151,a139a139-2319-4d73-84e3-517400c4e03a,Counting on Katherine,Helaine Becker,8-10,independent,picture-book,2018,True,A — 8-10 retag,retag,"5-6, 7-9",none,,"Counting on Katherine — Katherine Johnson. Apollo 13 + Black mathematician biography. 5-6 read-aloud, 7-9 native."
A-152,99e9ea5f-7915-4bab-8f28-c64c030baec8,Separate Is Never Equal,Duncan Tonatiuh,8-10,independent,picture-book,2014,True,A — 8-10 retag,retag,"5-6, 7-9",duplicate,,"Separate Is Never Equal — DUPLICATE of row 153. Mendez v Westminster. Civil rights picture-book. 5-6 with adult discussion, 7-9 native."
A-153,d6c2204a-9dfc-4f6f-a649-536d3430047b,Separate Is Never Equal,Duncan Tonatiuh,8-10,independent,picture-book,2014,True,A — 8-10 retag,remove-from-database,,amy-approved,,DUPLICATE removal per Amy directive — kept canonical copy elsewhere in corpus. Original audit rationale: Separate Is Never Equal — DUPLICATE of row 152. Same audit outcome.
A-154,c4a50948-cf53-4caa-853e-5281f9bbe239,Shark Lady,Jess Keating,8-10,independent,picture-book,2017,True,A — 8-10 retag,retag,"5-6, 7-9",none,,Shark Lady — Eugenie Clark biography. Picture-book bio. 5-6 to 7-9.
A-155,ee65fccd-ba74-498f-887b-acfd3d7ae998,The Undefeated,Kwame Alexander,"10-12, 8-10",independent,picture-book,2019,True,A — 8-10 retag,retag,"7-9, 10-12",none,,"Undefeated — Kwame Alexander Caldecott Medal. Spans formats — picture-book in form, poetic-essay in content. 7-9 to 10-12."
