file:line | hard-coded value | token adopted | FINDING
index.html:32 | #E8AF38 | var(--saffron) | 
index.html:19 | #E8AF38 | var(--saffron) | 
index.html:19 | #0C1020 | var(--ink) | 
index.html:19 | #FAFAFA | var(--paper) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #E0DED6 | var(--rule) | 
index.html:19 | #4A4850 | var(--mid) | 
index.html:32 | #E8AF38 | var(--saffron) | 
index.html:19 | #E8AF38 | var(--saffron) | 
index.html:19 | #0C1020 | var(--ink) | 
index.html:19 | #FAFAFA | var(--paper) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #E0DED6 | var(--rule) | 
index.html:19 | #4A4850 | var(--mid) | 
index.html:32 | #E8AF38 | var(--saffron) | 
index.html:19 | #E8AF38 | var(--saffron) | 
index.html:19 | #0C1020 | var(--ink) | 
index.html:19 | #FAFAFA | var(--paper) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #E0DED6 | var(--rule) | 
index.html:19 | #4A4850 | var(--mid) | 
index.html:32 | #E8AF38 | var(--saffron) | 
index.html:19 | #E8AF38 | var(--saffron) | 
index.html:19 | #0C1020 | var(--ink) | 
index.html:19 | #FAFAFA | var(--paper) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #E0DED6 | var(--rule) | 
index.html:19 | #4A4850 | var(--mid) | 
index.html:32 | #E8AF38 | var(--saffron) | 
index.html:19 | #E8AF38 | var(--saffron) | 
index.html:19 | #0C1020 | var(--ink) | 
index.html:19 | #FAFAFA | var(--paper) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #E0DED6 | var(--rule) | 
index.html:19 | #4A4850 | var(--mid) | 
index.html:32 | #E8AF38 | var(--saffron) | 
index.html:19 | #E8AF38 | var(--saffron) | 
index.html:19 | #0C1020 | var(--ink) | 
index.html:19 | #FAFAFA | var(--paper) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #E0DED6 | var(--rule) | 
index.html:19 | #4A4850 | var(--mid) | 
index.html:32 | #E8AF38 | var(--saffron) | 
index.html:19 | #E8AF38 | var(--saffron) | 
index.html:19 | #0C1020 | var(--ink) | 
index.html:19 | #FAFAFA | var(--paper) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #E0DED6 | var(--rule) | 
index.html:19 | #4A4850 | var(--mid) | 
index.html:32 | #E8AF38 | var(--saffron) | 
index.html:19 | #E8AF38 | var(--saffron) | 
index.html:19 | #0C1020 | var(--ink) | 
index.html:19 | #FAFAFA | var(--paper) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #E0DED6 | var(--rule) | 
index.html:19 | #4A4850 | var(--mid) | 
index.html:32 | #E8AF38 | var(--saffron) | 
index.html:19 | #E8AF38 | var(--saffron) | 
index.html:19 | #0C1020 | var(--ink) | 
index.html:19 | #FAFAFA | var(--paper) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #E0DED6 | var(--rule) | 
index.html:19 | #4A4850 | var(--mid) | 
index.html:32 | #E8AF38 | var(--saffron) | 
index.html:19 | #E8AF38 | var(--saffron) | 
index.html:19 | #0C1020 | var(--ink) | 
index.html:19 | #FAFAFA | var(--paper) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #E0DED6 | var(--rule) | 
index.html:19 | #4A4850 | var(--mid) | 
index.html:32 | #E8AF38 | var(--saffron) | 
index.html:19 | #E8AF38 | var(--saffron) | 
index.html:19 | #0C1020 | var(--ink) | 
index.html:19 | #FAFAFA | var(--paper) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #E0DED6 | var(--rule) | 
index.html:19 | #4A4850 | var(--mid) | 
index.html:32 | #E8AF38 | var(--saffron) | 
index.html:19 | #E8AF38 | var(--saffron) | 
index.html:19 | #0C1020 | var(--ink) | 
index.html:19 | #FAFAFA | var(--paper) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #E0DED6 | var(--rule) | 
index.html:19 | #4A4850 | var(--mid) | 
index.html:32 | #E8AF38 | var(--saffron) | 
index.html:19 | #E8AF38 | var(--saffron) | 
index.html:19 | #0C1020 | var(--ink) | 
index.html:19 | #FAFAFA | var(--paper) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #E0DED6 | var(--rule) | 
index.html:19 | #4A4850 | var(--mid) | 
index.html:32 | #E8AF38 | var(--saffron) | 
index.html:19 | #E8AF38 | var(--saffron) | 
index.html:19 | #0C1020 | var(--ink) | 
index.html:19 | #FAFAFA | var(--paper) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #E0DED6 | var(--rule) | 
index.html:19 | #4A4850 | var(--mid) | 
index.html:32 | #E8AF38 | var(--saffron) | 
index.html:19 | #E8AF38 | var(--saffron) | 
index.html:19 | #0C1020 | var(--ink) | 
index.html:19 | #FAFAFA | var(--paper) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #E0DED6 | var(--rule) | 
index.html:19 | #4A4850 | var(--mid) | 
index.html:32 | #E8AF38 | var(--saffron) | 
index.html:19 | #E8AF38 | var(--saffron) | 
index.html:19 | #0C1020 | var(--ink) | 
index.html:19 | #FAFAFA | var(--paper) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #E0DED6 | var(--rule) | 
index.html:19 | #4A4850 | var(--mid) | 
index.html:32 | #E8AF38 | var(--saffron) | 
index.html:19 | #E8AF38 | var(--saffron) | 
index.html:19 | #0C1020 | var(--ink) | 
index.html:19 | #FAFAFA | var(--paper) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #E0DED6 | var(--rule) | 
index.html:19 | #4A4850 | var(--mid) | 
index.html:32 | #E8AF38 | var(--saffron) | 
atlas.html:68 | #555 | N/A | FINDING: #555 has no token
atlas.html:69 | #fff | N/A | FINDING: #FFF has no token
atlas.html:69 | #7A7A72 | N/A | FINDING: #7A7A72 has no token
atlas.html:97 | #fff | N/A | FINDING: #FFF has no token
atlas.html:116 | #fff | N/A | FINDING: #FFF has no token
atlas.html:118 | #555 | N/A | FINDING: #555 has no token
atlas.html:120 | #fff | N/A | FINDING: #FFF has no token
atlas.html:122 | #555 | N/A | FINDING: #555 has no token
atlas.html:136 | #fff | N/A | FINDING: #FFF has no token
atlas.html:140 | #fff | N/A | FINDING: #FFF has no token
atlas.html:144 | #fff | N/A | FINDING: #FFF has no token
elementum.html:69 | #555 | N/A | FINDING: #555 has no token
elementum.html:70 | #555 | N/A | FINDING: #555 has no token
elementum.html:71 | #fff | N/A | FINDING: #FFF has no token
elementum.html:71 | #7A7A72 | N/A | FINDING: #7A7A72 has no token
elementum.html:107 | #fff | N/A | FINDING: #FFF has no token
elementum.html:112 | #999 | N/A | FINDING: #999 has no token
elementum.html:117 | #999 | N/A | FINDING: #999 has no token
elementum.html:125 | #555 | N/A | FINDING: #555 has no token
elementum.html:137 | #fff | N/A | FINDING: #FFF has no token
elementum.html:140 | #666 | N/A | FINDING: #666 has no token
elementum.html:142 | #fff | N/A | FINDING: #FFF has no token
elementum.html:145 | #666 | N/A | FINDING: #666 has no token
elementum.html:150 | #666 | N/A | FINDING: #666 has no token
elementum.html:152 | #fff | N/A | FINDING: #FFF has no token
elementum.html:155 | #666 | N/A | FINDING: #666 has no token
book.html:34 | #F2F0EA | var(--linen) | 
book.html:45 | #182848 | N/A | FINDING: Dark blue #182848 not in tokens
book.html:45 | #101830 | N/A | FINDING: Dark blue #101830 not in tokens
book.html:46 | #101830 | N/A | FINDING: Dark blue #101830 not in tokens
book.html:47 | #F0F2F8 | N/A | FINDING: Off-white not in tokens
book.html:110 | #F2F0EA | var(--linen) | 
book.html:142 | #F2F0EA | var(--linen) | 
book.html:158 | #F2F0EA | var(--linen) | 
book.html:169 | #C8852A | N/A | FINDING: Orange #C8852A not in tokens
book.html:169 | #A86A1A | N/A | FINDING: Orange #A86A1A not in tokens
book.html:183 | #E8AF38 | var(--saffron) | 
book.html:200 | #5F5E5A | N/A | FINDING: Gray #5F5E5A not in tokens
book.html:206 | #5F5E5A | N/A | FINDING: Gray #5F5E5A not in tokens
book.html:211 | #5F5E5A | N/A | FINDING: Gray #5F5E5A not in tokens
book.html:217 | #0C1020 | var(--ink) | 
book.html:222 | #8C8A84 | N/A | FINDING: Gray #8C8A84 not in tokens
book.html:252 | #E8AF38 | var(--saffron) | 
book.html:263 | #E8AF38 | var(--saffron) | 
book.html:272 | #0C1020 | var(--ink) | 
book.html:278 | #E8AF38 | var(--saffron) | 
book.html:297 | #5F5E5A | N/A | FINDING: Gray #5F5E5A not in tokens
book.html:298 | #E0DED6 | var(--rule) | 
book.html:306 | #FAFAFA | var(--paper) | 
book.html:307 | #FAFAFA | var(--paper) | 
book.html:307 | #E0DED6 | var(--rule) | 
book.html:307 | #0C1020 | var(--ink) | 
book.html:311 | #E0DED6 | var(--rule) | 
book.html:312 | #E0DED6 | var(--rule) | 
book.html:328 | #0C1020 | var(--ink) | 
book.html:360 | #E8AF38 | var(--saffron) | 
book.html:360 | #0C1020 | var(--ink) | 
book.html:361 | #D49E2A | N/A | FINDING: Saffron hover #D49E2A not in tokens
book.html:370 | #0C1020 | var(--ink) | 
book.html:402 | #0C1020 | var(--ink) | 
book.html:420 | #E8AF38 | var(--saffron) | 
book.html:427 | #E8AF38 | var(--saffron) | 
book.html:445 | #E8AF38 | var(--saffron) | 
book.html:457 | #E8AF38 | var(--saffron) | 
book.html:470 | #E0DED6 | var(--rule) | 
book.html:482 | #E8AF38 | var(--saffron) | 
book.html:498 | #0C1020 | var(--ink) | 
book.html:520 | #0C1020 | var(--ink) | 
book.html:530 | #0C1020 | var(--ink) | 
book.html:537 | #FAFAFA | var(--paper) | 
book.html:538 | #E0DED6 | var(--rule) | 
book.html:559 | #0C1020 | var(--ink) | 
book.html:584 | #0C1020 | var(--ink) | 
book.html:603 | #E0DED6 | var(--rule) | 
book.html:622 | #C8C5BC | N/A | FINDING: Gray #C8C5BC not in tokens
book.html:639 | #0C1020 | var(--ink) | 
book.html:642 | #E8AF38 | var(--saffron) | 
book.html:650 | #5F5E5A | N/A | FINDING: Gray #5F5E5A not in tokens
book.html:661 | #5F5E5A | N/A | FINDING: Gray #5F5E5A not in tokens
book.html:672 | #0C1020 | var(--ink) | 
book.html:694 | #0C1020 | var(--ink) | 
book.html:707 | #5F5E5A | N/A | FINDING: Gray #5F5E5A not in tokens
book.html:731 | #F2F0EA | var(--linen) | 
book.html:743 | #C8852A | N/A | FINDING: Orange #C8852A not in tokens
book.html:752 | #E8AF38 | var(--saffron) | 
book.html:758 | #0C1020 | var(--ink) | 
book.html:766 | #5F5E5A | N/A | FINDING: Gray #5F5E5A not in tokens
book.html:775 | #8C8A84 | N/A | FINDING: Gray #8C8A84 not in tokens
book.html:783 | #0C1020 | var(--ink) | 
book.html:787 | #F0F2F8 | N/A | FINDING: Off-white not in tokens
book.html:789 | #F0F2F8 | N/A | FINDING: Off-white not in tokens
book.html:790 | #F0F2F8 | N/A | FINDING: Off-white not in tokens
book.html:792 | #F0F2F8 | N/A | FINDING: Off-white not in tokens
book.html:792 | #E8AF38 | var(--saffron) | 
book.html:793 | #E8AF38 | var(--saffron) | 
book.html:793 | #231a14 | var(--lib-ink) | 
book.html:814 | #E8AF38 | var(--saffron) | 
book.html:1094 | #F0F2F8 | N/A | FINDING: Off-white not in tokens
lighthouse-report.html:20 | #5e6274 | N/A | FINDING: #5E6274 has no token
lighthouse-report.html:20 | #181b2a | N/A | FINDING: #181B2A has no token
lighthouse-report.html:20 | #5e6274 | N/A | FINDING: #5E6274 has no token
lighthouse-report.html:20 | #181b2a | N/A | FINDING: #181B2A has no token
lighthouse-report.html:80 | #595959 | N/A | FINDING: #595959 has no token
lighthouse-report.html:119 | #fff | N/A | FINDING: #FFF has no token
lighthouse-report.html:119 | #fff | N/A | FINDING: #FFF has no token
lighthouse-report.html:119 | #fff | N/A | FINDING: #FFF has no token
lighthouse-report.html:119 | #fff | N/A | FINDING: #FFF has no token
lighthouse-report.html:119 | #fff | N/A | FINDING: #FFF has no token
lighthouse-report.html:119 | #fff | N/A | FINDING: #FFF has no token
lighthouse-report.html:119 | #fff | N/A | FINDING: #FFF has no token
lighthouse-report.html:119 | #fff | N/A | FINDING: #FFF has no token
lighthouse-report.html:119 | #fff | N/A | FINDING: #FFF has no token
lighthouse-report.html:119 | #fff | N/A | FINDING: #FFF has no token
lighthouse-report.html:119 | #fff | N/A | FINDING: #FFF has no token
lighthouse-report.html:119 | #fff | N/A | FINDING: #FFF has no token
lighthouse-report.html:119 | #fff | N/A | FINDING: #FFF has no token
lighthouse-report.html:119 | #fff | N/A | FINDING: #FFF has no token
lighthouse-report.html:119 | #fff | N/A | FINDING: #FFF has no token
lighthouse-report.html:119 | #fff | N/A | FINDING: #FFF has no token
lighthouse-report.html:119 | #fff | N/A | FINDING: #FFF has no token
lighthouse-report.html:119 | #fff | N/A | FINDING: #FFF has no token
lighthouse-report.html:119 | #fff | N/A | FINDING: #FFF has no token
lighthouse-report.html:119 | #fff | N/A | FINDING: #FFF has no token
lighthouse-report.html:119 | #fff | N/A | FINDING: #FFF has no token
lighthouse-report.html:119 | #fff | N/A | FINDING: #FFF has no token
lighthouse-report.html:119 | #fff | N/A | FINDING: #FFF has no token
lighthouse-report.html:119 | #fff | N/A | FINDING: #FFF has no token
lighthouse-report.html:119 | #fff | N/A | FINDING: #FFF has no token
lighthouse-report.html:119 | #fff | N/A | FINDING: #FFF has no token
lighthouse-report.html:119 | #fff | N/A | FINDING: #FFF has no token
lighthouse-report.html:119 | #fff | N/A | FINDING: #FFF has no token
lighthouse-report.html:119 | #fff | N/A | FINDING: #FFF has no token
lighthouse-report.html:119 | #fff | N/A | FINDING: #FFF has no token
lighthouse-report.html:119 | #fff | N/A | FINDING: #FFF has no token
lighthouse-report.html:119 | #fff | N/A | FINDING: #FFF has no token
lighthouse-report.html:119 | #fff | N/A | FINDING: #FFF has no token
lighthouse-report.html:119 | #fff | N/A | FINDING: #FFF has no token
lighthouse-report.html:119 | #fff | N/A | FINDING: #FFF has no token
lighthouse-report.html:119 | #fff | N/A | FINDING: #FFF has no token
lighthouse-report.html:119 | #fff | N/A | FINDING: #FFF has no token
lighthouse-report.html:119 | #fff | N/A | FINDING: #FFF has no token
lighthouse-report.html:119 | #fff | N/A | FINDING: #FFF has no token
lighthouse-report.html:119 | #fff | N/A | FINDING: #FFF has no token
lighthouse-report.html:119 | #fff | N/A | FINDING: #FFF has no token
lighthouse-report.html:119 | #fff | N/A | FINDING: #FFF has no token
lighthouse-report.html:119 | #fff | N/A | FINDING: #FFF has no token
lighthouse-report.html:119 | #fff | N/A | FINDING: #FFF has no token
lighthouse-report.html:119 | #fff | N/A | FINDING: #FFF has no token
lighthouse-report.html:119 | #fff | N/A | FINDING: #FFF has no token
lighthouse-report.html:119 | #fff | N/A | FINDING: #FFF has no token
lighthouse-report.html:119 | #fff | N/A | FINDING: #FFF has no token
lighthouse-report.html:119 | #fff | N/A | FINDING: #FFF has no token
lighthouse-report.html:119 | #fff | N/A | FINDING: #FFF has no token
lighthouse-report.html:119 | #fff | N/A | FINDING: #FFF has no token
lighthouse-report.html:132 | #47ebbc | N/A | FINDING: #47EBBC has no token
lighthouse-report.html:132 | #eb47a4 | N/A | FINDING: #EB47A4 has no token
lighthouse-report.html:132 | #7eeb47 | N/A | FINDING: #7EEB47 has no token
lighthouse-report.html:132 | #eb47c5 | N/A | FINDING: #EB47C5 has no token
lighthouse-report.html:132 | #7347eb | N/A | FINDING: #7347EB has no token
lighthouse-report.html:132 | #ebd247 | N/A | FINDING: #EBD247 has no token
lighthouse-report.html:132 | #eb47e0 | N/A | FINDING: #EB47E0 has no token
lighthouse-report.html:132 | #b4eb47 | N/A | FINDING: #B4EB47 has no token
lighthouse-report.html:132 | #479eeb | N/A | FINDING: #479EEB has no token
lighthouse-report.html:132 | #ebcf47 | N/A | FINDING: #EBCF47 has no token
lighthouse-report.html:132 | #d547eb | N/A | FINDING: #D547EB has no token
lighthouse-report.html:132 | #47bfeb | N/A | FINDING: #47BFEB has no token
lighthouse-report.html:132 | #47eb83 | N/A | FINDING: #47EB83 has no token
lighthouse-report.html:132 | #eb47bf | N/A | FINDING: #EB47BF has no token
lighthouse-report.html:132 | #91eb47 | N/A | FINDING: #91EB47 has no token
lighthouse-report.html:132 | #86eb47 | N/A | FINDING: #86EB47 has no token
lighthouse-report.html:132 | #83eb47 | N/A | FINDING: #83EB47 has no token
lighthouse-report.html:132 | #eb47eb | N/A | FINDING: #EB47EB has no token
lighthouse-report.html:132 | #47eb73 | N/A | FINDING: #47EB73 has no token
lighthouse-report.html:132 | #47e8eb | N/A | FINDING: #47E8EB has no token
lighthouse-report.html:132 | #ebe247 | N/A | FINDING: #EBE247 has no token
lighthouse-report.html:132 | #eb5547 | N/A | FINDING: #EB5547 has no token
lighthouse-report.html:132 | #7beb47 | N/A | FINDING: #7BEB47 has no token
lighthouse-report.html:132 | #a147eb | N/A | FINDING: #A147EB has no token
lighthouse-report.html:132 | #eb8347 | N/A | FINDING: #EB8347 has no token
lighthouse-report.html:132 | #eb5547 | N/A | FINDING: #EB5547 has no token
lighthouse-report.html:132 | #47eb81 | N/A | FINDING: #47EB81 has no token
lighthouse-report.html:132 | #eb47ba | N/A | FINDING: #EB47BA has no token
lighthouse-report.html:132 | #eb47bf | N/A | FINDING: #EB47BF has no token
lighthouse-report.html:132 | #eb4783 | N/A | FINDING: #EB4783 has no token
lighthouse-report.html:132 | #eba147 | N/A | FINDING: #EBA147 has no token
lighthouse-report.html:132 | #ebe247 | N/A | FINDING: #EBE247 has no token
lighthouse-report.html:132 | #47e2eb | N/A | FINDING: #47E2EB has no token
lighthouse-report.html:132 | #ebe047 | N/A | FINDING: #EBE047 has no token
lighthouse-report.html:132 | #4776eb | N/A | FINDING: #4776EB has no token
lighthouse-report.html:132 | #eb5547 | N/A | FINDING: #EB5547 has no token
lighthouse-report.html:132 | #47ebc7 | N/A | FINDING: #47EBC7 has no token
lighthouse-report.html:132 | #eb47ac | N/A | FINDING: #EB47AC has no token
lighthouse-report.html:132 | #4783eb | N/A | FINDING: #4783EB has no token
lighthouse-report.html:132 | #47baeb | N/A | FINDING: #47BAEB has no token
lighthouse-report.html:132 | #ba47eb | N/A | FINDING: #BA47EB has no token
lighthouse-report.html:132 | #5247eb | N/A | FINDING: #5247EB has no token
lighthouse-report.html:132 | #eb4791 | N/A | FINDING: #EB4791 has no token
lighthouse-report.html:132 | #47eba7 | N/A | FINDING: #47EBA7 has no token
lighthouse-report.html:132 | #eb478b | N/A | FINDING: #EB478B has no token
lighthouse-report.html:132 | #eb5d47 | N/A | FINDING: #EB5D47 has no token
lighthouse-report.html:132 | #eb6847 | N/A | FINDING: #EB6847 has no token
lighthouse-report.html:132 | #ebe047 | N/A | FINDING: #EBE047 has no token
lighthouse-report.html:132 | #47ebda | N/A | FINDING: #47EBDA has no token
lighthouse-report.html:132 | #eb8147 | N/A | FINDING: #EB8147 has no token
lighthouse-report.html:132 | #ebbc47 | N/A | FINDING: #EBBC47 has no token
lighthouse-report.html:231 | #fbf1f2 | N/A | FINDING: #FBF1F2 has no token
lighthouse-report.html:232 | #ffd6d8 | N/A | FINDING: #FFD6D8 has no token
lighthouse-report.html:261 | #0c50c7 | N/A | FINDING: #0C50C7 has no token
lighthouse-report.html:362 | #FFF8E1 | N/A | FINDING: #FFF8E1 has no token
lighthouse-report.html:363 | #90CAF9 | N/A | FINDING: #90CAF9 has no token
lighthouse-report.html:364 | #0D47A1 | N/A | FINDING: #0D47A1 has no token
lighthouse-report.html:365 | #2962FF | N/A | FINDING: #2962FF has no token
lighthouse-report.html:366 | #06f | N/A | FINDING: #06F has no token
lighthouse-report.html:367 | #00BCD4 | N/A | FINDING: #00BCD4 has no token
lighthouse-report.html:368 | #F5F5F5 | N/A | FINDING: #F5F5F5 has no token
lighthouse-report.html:369 | #CFCFCF | N/A | FINDING: #CFCFCF has no token
lighthouse-report.html:370 | #E0E0E0 | N/A | FINDING: #E0E0E0 has no token
lighthouse-report.html:371 | #BDBDBD | N/A | FINDING: #BDBDBD has no token
lighthouse-report.html:372 | #FAFAFA | var(--paper) | 
lighthouse-report.html:373 | #9E9E9E | N/A | FINDING: #9E9E9E has no token
lighthouse-report.html:374 | #757575 | N/A | FINDING: #757575 has no token
lighthouse-report.html:375 | #616161 | N/A | FINDING: #616161 has no token
lighthouse-report.html:376 | #424242 | N/A | FINDING: #424242 has no token
lighthouse-report.html:377 | #212121 | N/A | FINDING: #212121 has no token
lighthouse-report.html:378 | #000000 | N/A | FINDING: #000000 has no token
lighthouse-report.html:379 | #080 | N/A | FINDING: #080 has no token
lighthouse-report.html:380 | #0c6 | N/A | FINDING: #0C6 has no token
lighthouse-report.html:381 | #D3E156 | N/A | FINDING: #D3E156 has no token
lighthouse-report.html:382 | #FFF3E0 | N/A | FINDING: #FFF3E0 has no token
lighthouse-report.html:383 | #C33300 | N/A | FINDING: #C33300 has no token
lighthouse-report.html:384 | #fa3 | N/A | FINDING: #FA3 has no token
lighthouse-report.html:385 | #c00 | N/A | FINDING: #C00 has no token
lighthouse-report.html:386 | #f33 | N/A | FINDING: #F33 has no token
lighthouse-report.html:387 | #00897B | N/A | FINDING: #00897B has no token
lighthouse-report.html:388 | #FFFFFF | N/A | FINDING: #FFFFFF has no token
lighthouse-report.html:435 | #7F7F7F | N/A | FINDING: #7F7F7F has no token
lighthouse-report.html:442 | #fff | N/A | FINDING: #FFF has no token
lighthouse-report.html:443 | #ebebeb | N/A | FINDING: #EBEBEB has no token
lighthouse-report.html:467 | #0938C2 | N/A | FINDING: #0938C2 has no token
lighthouse-report.html:472 | #EEF1F4 | N/A | FINDING: #EEF1F4 has no token
lighthouse-report.html:474 | #F5F7FA | N/A | FINDING: #F5F7FA has no token
lighthouse-report.html:504 | #616161 | N/A | FINDING: #616161 has no token
lighthouse-report.html:507 | #757575 | N/A | FINDING: #757575 has no token
lighthouse-report.html:519 | #393535 | N/A | FINDING: #393535 has no token
lighthouse-report.html:1461 | #A8C7FA | N/A | FINDING: #A8C7FA has no token
lighthouse-report.html:2006 | #A8C7FA | N/A | FINDING: #A8C7FA has no token
lighthouse-report.html:2125 | #999 | N/A | FINDING: #999 has no token
lighthouse-report.html:2240 | #ffffff | N/A | FINDING: #FFFFFF has no token
lighthouse-report.html:2287 | #fff | N/A | FINDING: #FFF has no token
lighthouse-report.html:2299 | #aaa | N/A | FINDING: #AAA has no token
lighthouse-report.html:2318 | #777 | N/A | FINDING: #777 has no token
lighthouse-report.html:2324 | #555 | N/A | FINDING: #555 has no token
lighthouse-report.html:2741 | #ccc | N/A | FINDING: #CCC has no token
lighthouse-report.html:2822 | #F63 | N/A | FINDING: #F63 has no token
lighthouse-report.html:2822 | #FFA385 | N/A | FINDING: #FFA385 has no token
lighthouse-report.html:2822 | #FF3 | N/A | FINDING: #FF3 has no token
lighthouse-report.html:2826 | #323232 | N/A | FINDING: #323232 has no token
lighthouse-report.html:2827 | #fff | N/A | FINDING: #FFF has no token
base.css:12 | #E8AF38 | var(--saffron) | 
base.css:27 | #E8AF38 | var(--saffron) | 
games.css:24 | #555 | N/A | FINDING: #555 has no token
games.css:49 | #ede9e0 | N/A | FINDING: #EDE9E0 has no token
games.css:71 | #555 | N/A | FINDING: #555 has no token
games.css:190 | #555 | N/A | FINDING: #555 has no token
games.css:203 | #fff | N/A | FINDING: #FFF has no token
games.css:225 | #555 | N/A | FINDING: #555 has no token
games.css:272 | #6B5B1E | N/A | FINDING: #6B5B1E has no token
games.css:278 | #555 | N/A | FINDING: #555 has no token
hero-sky.css:85 | #7288B4 | N/A | FINDING: #7288B4 has no token
hero-sky.css:91 | #97ABD0 | N/A | FINDING: #97ABD0 has no token
hero-sky.css:197 | #E8EEF8 | N/A | FINDING: #E8EEF8 has no token
hero-window.css:110 | #1e3060 | N/A | FINDING: #1E3060 has no token
hero-window.css:110 | #131e3a | N/A | FINDING: #131E3A has no token
hero-window.css:110 | #0d1627 | N/A | FINDING: #0D1627 has no token
hero-window.css:145 | #000 | N/A | FINDING: #000 has no token
hero-window.css:145 | #000 | N/A | FINDING: #000 has no token
hero-window.css:147 | #000 | N/A | FINDING: #000 has no token
hero-window.css:147 | #000 | N/A | FINDING: #000 has no token
hero-window.css:274 | #E8AF38 | var(--saffron) | 
hero-window.css:284 | #F8F4E9 | var(--linen) | 
hero-window.css:290 | #E8AF38 | var(--saffron) | 
hero-window.css:304 | #E8AF38 | var(--saffron) | 
hero-window.css:330 | #E8AF38 | var(--saffron) | 
hero-window.css:331 | #0C1020 | var(--ink) | 
hero-window.css:388 | #0C1020 | var(--ink) | 
hero-window.css:416 | #E8AF38 | var(--saffron) | 
hero-window.css:423 | #E8AF38 | var(--saffron) | 
lab-constellation-sky.css:10 | #101830 | N/A | FINDING: Dark blue #101830 not in tokens
lab-constellation-sky.css:11 | #1B2C50 | N/A | FINDING: #1B2C50 has no token
lab-constellation-sky.css:11 | #131C38 | N/A | FINDING: #131C38 has no token
lab-constellation-sky.css:11 | #080C1A | N/A | FINDING: #080C1A has no token
lab-constellation.css:10 | #0B0F1C | N/A | FINDING: #0B0F1C has no token
lab-constellation.css:21 | #F8F4E9 | var(--linen) | 
lab-constellation.css:24 | #E8AF38 | var(--saffron) | 
lab-constellation.css:25 | #E8AF38 | var(--saffron) | 
lab-constellation.css:65 | #E8AF38 | var(--saffron) | 
lab-constellation.css:71 | #F8F4E9 | var(--linen) | 
lab-constellation.css:75 | #E8AF38 | var(--saffron) | 
lab-constellation.css:83 | #E8AF38 | var(--saffron) | 
lab-constellation.css:105 | #E8AF38 | var(--saffron) | 
lab-constellation.css:110 | #E8AF38 | var(--saffron) | 
lab-constellation.css:113 | #E8AF38 | var(--saffron) | 
lab-constellation.css:113 | #0B0F1C | N/A | FINDING: #0B0F1C has no token
lab-orbital.css:75 | #1e3060 | N/A | FINDING: #1E3060 has no token
lab-orbital.css:75 | #131e3a | N/A | FINDING: #131E3A has no token
lab-orbital.css:75 | #0d1627 | N/A | FINDING: #0D1627 has no token
lab-orbital.css:190 | #E8AF38 | var(--saffron) | 
lab-orbital.css:199 | #E8AF38 | var(--saffron) | 
lab-orbital.css:206 | #C8CDDA | N/A | FINDING: #C8CDDA has no token
lab-orbital.css:307 | #0B111F | N/A | FINDING: #0B111F has no token
lab-orbital.css:308 | #8C91A5 | N/A | FINDING: #8C91A5 has no token
lab-orbital.css:316 | #F8F4E9 | var(--linen) | 
lab-orbital.css:320 | #E8AF38 | var(--saffron) | 
lab-orbital.css:335 | #C8CDDA | N/A | FINDING: #C8CDDA has no token
lab-orbital.css:347 | #E8AF38 | var(--saffron) | 
lab-orbital.css:361 | #6E7488 | N/A | FINDING: #6E7488 has no token
